# title=List of JLG Consulting clients located in France.
label,zipcode
1998-2000 - Cap Gemini Ernst & Young,92400
2000-2001 - Universite de Paris-Est - Marne la Vallée,93460
2001 - Axya System,93300
2002 - Bouygues Telecom,78140
2003 - Assemblee Nationale,75006
2003 - Michelin,63000
2004 - EDF,92130
2004 - Ministère de la Défense,75015
2004 - DEMOS,75008
2004 - Oxiane,92100
2004 - Cegetel,92400
2005 - ENSEA,95000
2008 - GFI Informatique Orléans,45000
2008 - Canal+,92130
2009 - France Telecom,45400
2012 - Supelec,91190
2014-2020 - ORSYS - Paris - Arche de La Défense Paroi Nord,92400
2014 - Seine-et-Marne Développement,77000
2014-2018 - Carrefour DSI,91300
2015 - Peugeot,68390
2015 - CARSAT Limoges,87000
2015 - Peugeot,90000
2015 - Parkeon,25000
2015 - Ministère de l'agriculture et de la pêche,31320
2015 - Université de Paris-Descartes,75006
2015 2018 2019 - Orsys Bordeaux,33000
2015 2016 - Natixis,94220
2015 - GFI Informatique,92400
2015 2016 - Orsys Lyon,69000
2015 2016 2017 2018 - Orsys Toulouse,31000
2015-2020 - Orsys Nantes,44800
2015-2020 - Renault (Guyancourt),78280
2015 2017 2018 - Orsys Rennes,35000
2015 - Direction Générale de l'Armement,75015
2015 2017 - Orsys Lille,59000
2016 - Banque Rothshild Geneve,01630
2016 2017 - Orsys Sophia Antipolis,06560
2016 - Peugeot Sochaux,25600
2016 - Groupe Schmidt (Meuble Cuisine),68660
2016 2017 - Orsys Aix-en-Provence,13100
2016 2017 - Inbox (Editeur Logiciel),92240
2016 2017 - CNAF Montreuil,93100
2016 - Thales,92400
2016 - Nokia,91460
2016 2017 - Oury Conseil en "E-reputation",75017
2016 - Sercel (Brest),29000
2016 2019 - Orsys Strasbourg,67000
2016 - Sogeti,92400
2016 - Infotel,44800
2017 - Altran,92400
2017-2019 - Esprit de Service France,92100
2017 - Orsys Luxembourg,57330
2017 - Telelogos,49070
2017 - Acome,50140
2017 - Business & Decision,13002
2017 - Geosys,31130
2017 - ENSAM,75013
2017 - CIPAV,75008
2017 - CRITEO,38130
2017 - ENOVACOM,13008
2017 - Orsys Grenoble,38000
2017 - CFPB,92000
2017 - Orsys Bruxelles,B-1000
2017 2019 - ENGIE INEO SYSTRANS,78260
2018 - ECONOCOM,38000
2018 - CIRB Bruxelles,B-1000
2018 - ABES Education Nationale,34000
2018 - Pharmagest Lorient,56530
2018 - ASR INFORMATIQUE,44800
2018 - SNCF Gare et connexion,75013
2018 - NEOPOST SHIPPING,84300
2018 - MAIF,79000
2018 2019 - FAFIEC,75013
2018 - UNION NATIONALE DES MUTUALISTES SOCIALISTES,B-1000
2018 - Groupe INFODIGITAL - Le Moniteur,92160
2018 - BIHR (Equipementier moto),68870
2018 - Caisse des Dépôts et Consignations,94110
2018 2019 2020 - Renault (Robinson),92350
2018 - INPI (Courbevoie),92400
2018 - CNAF Rennes,35000
2018 2019 - ITCE (Groupe BPCE),75013
2018 - GROUPE 37DEUX,85340
2018 - La Poste (DSI Montpellier),34000
2018 - CNAF Sophia-Antipolis,06560
2019 - GFI Informatique,79180
2019 - CPAGE Dijon,21000
2019 - Orsys Montpellier,34000
2019 2020 - Biosystem,21560
2019 - General Electrics,92400
2019 - Ministère de la Défense,92400
2019 - GFI Informatique Metz,57000
2019 - Orsys Angers,49000
2019 - ADCI (ERP BTP-VRD),51450
2019 - Grand Frais / PROSOL Gestion (Direction informatique de Lyon),69970
2019 - Pharmagest WELCOOP,54500
2019 - Thales Grenoble,38000
2019 - RESIP (Logiciel médicament - Boulognes),62200
2019 - MEDIAROM,51100
2019 - CIVADIS,B-5020
2019 - EPELFI,67700
2019 - Wallonnie agriculture SPW,B-5000
2019 - Wiame VRD,77260
2019 - Agglomération de Laval,53000
2019 - Flowbird,25000
2019 - SOPHEOS (Editeurs de sites internet),68720
2019 - SITTI (Editeurs de sites internet),45770
2019 - BIMEDIA,85000
2019 - JVS,51000
2020 - BNP Paribas - CETELEM,75008
2020 - OCAPIAT - FAFSEA (OPCO),86000



