"zipcode","latitude","longitude"
"1000","46.567488","6.6809642"
"1001","46.2435256","7.3820734"
"1002","46.5218203","6.6326647"
"1003","46.5207933","6.6314894"
"1004","46.5300393","6.6179495"
"1005","46.5201391","6.6427496"
"1006","46.5096537","6.6360259"
"1007","46.516054","6.608998"
"1008","46.544574","6.605012"
"1008","46.55043","6.59874"
"1008","46.5346449","6.6052401"
"1009","46.513112","6.6596571"
"1010","46.53327","6.647725"
"1011","46.5256281","6.6418895"
"1012","46.5277489","6.6573705"
"1014","46.5205021","6.626834"
"1015","46.556672","6.6833783"
"1017","46.8383824","6.9731603"
"1018","46.5341574","6.6303209"
"1019","46.8383824","6.9731603"
"1020","46.53381","6.59137"
"1020","46.539118","6.582501"
"1020","46.536955","6.5909451"
"1022","46.5278669","6.5718239"
"1023","46.5518687","6.5743458"
"1023","46.5503564","6.5780278"
"1024","46.5285135","6.5605744"
"1024","46.5238969","6.5534096"
"1025","46.5127661","6.56122"
"1026","46.5248345","6.5414283"
"1026","46.5352022","6.5418995"
"1026","46.5371222","6.5369124"
"1027","46.5266468","6.5205487"
"1028","46.5170831","6.5280452"
"1029","46.5679792","6.561225"
"1030","46.5517429","6.558615"
"1031","46.577693","6.5525569"
"1032","46.5630648","6.603945"
"1032","46.5738509","6.6166543"
"1033","46.585452","6.6047712"
"1033","46.577108","6.6086563"
"1034","46.6027375","6.5838525"
"1035","46.6041957","6.5636887"
"1036","46.5935962","6.5660091"
"1037","46.5998975","6.6129185"
"1038","46.6920622","6.708587"
"1039","46.2299333","6.9532768"
"1040","46.6410996","6.6344508"
"1040","46.6368795","6.602289"
"1040","46.65755","6.6390489"
"1041","46.6169495","6.6603021"
"1041","46.6350262","6.6853649"
"1041","46.6496","6.70218"
"1041","46.6480636","6.7146856"
"1041","46.6581296","6.6957236"
"1041","46.63767","6.66287"
"1041","46.6274641","6.6819435"
"1042","46.6132945","6.6226762"
"1042","46.6279889","6.5773317"
"1042","46.6212","6.59814"
"1043","46.6552","6.67183"
"1044","46.67606","6.68168"
"1045","46.7104182","6.7234914"
"1046","46.6937019","6.6926562"
"1047","46.7139815","6.691683"
"1052","46.5533123","6.6339915"
"1053","46.5980923","6.641246"
"1053","46.5851396","6.6402929"
"1053","46.5902631","6.6646499"
"1054","46.5910697","6.6256805"
"1055","46.601503","6.6822073"
"1058","46.6256905","6.70336"
"1059","46.6321479","6.728431"
"1061","46.647426","6.7292355"
"1062","46.6553889","6.7421726"
"1063","46.6800404","6.7195938"
"1063","46.6689929","6.7346379"
"1063","46.66107","6.75322"
"1063","46.6633472","6.7067892"
"1063","46.6632987","6.7069838"
"1066","46.5488573","6.674199"
"1066","46.5438222","6.6604287"
"1068","46.535411","6.688348"
"1070","46.5068996","6.7847566"
"1070","46.5131333","6.7825318"
"1071","46.481692","6.7788078"
"1071","46.48243","6.79772"
"1071","46.4838689","6.7869985"
"1071","46.4732766","6.7961822"
"1072","46.54338","6.77082"
"1073","46.54376","6.70522"
"1073","46.55668","6.75057"
"1073","46.5383864","6.7321079"
"1076","46.5889426","6.7855468"
"1077","46.57147","6.77879"
"1078","46.5623699","6.7891283"
"1080","46.5720997","6.7543068"
"1081","46.5821207","6.7408098"
"1082","46.6064999","6.7422889"
"1083","46.5955273","6.7702883"
"1084","46.6043933","6.7748157"
"1085","46.622324","6.7921344"
"1088","46.6152435","6.7515109"
"1090","46.9455933","7.1545243"
"1090","46.5200128","6.7069649"
"1091","46.49828","6.71"
"1091","46.4958069","6.7286641"
"1091","46.5069328","6.7238803"
"1091","46.5141626","6.7285407"
"1092","46.5191267","6.6789123"
"1093","46.5152905","6.684432"
"1094","46.5086319","6.6743056"
"1095","46.509738","6.699324"
"1095","46.5145573","6.6863024"
"1095","46.5063689","6.6923302"
"1095","46.5063689","6.6923302"
"1095","46.50728","6.69386"
